Item Name;Aer;Alienis;Aqua;Arbor;Auram;Bestia;Caelum;Cognitio;Corpus;Desidia;Electrum;Exanimis;Fabrico;Fames;Gelum;Gula;Herba;Humanus;Ignis;Infernus;Instrumentum;Invidia;Ira;Iter;Limus;Lucrum;Lux;Luxuria;Machina;Magneto;Messis;Metallum;Meto;Mortuus;Motus;Nebrisum;Ordo;Pannus;Perditio;Perfodio;Permutatio;Potentia;Praecantatio;Radio;Sano;Sensus;Spiritus;Strontio;Superbia;Tabernus;Telum;Tempestas;Tempus;Tenebrae;Terminus;Terra;Tutamen;Vacuos;Venenum;Victus;Vinculum;Vitium;Vitreus;Volatus
Tree of Transformation Sapling (1943:6);;;;2;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;
Tree of Time Sapling (1943:5);;;;2;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;
Robust Twilight Oak Sapling (1943:4);;;;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Darkwood Sapling (1943:3);;;;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Twilight Mangrove Sapling (1943:2);;;;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canopy Tree Sapling (1943:1);;;;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sickly Twilight Oak Sapling (1943:0);;;;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Universal Antidote (7536:0);;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;
End Powder (4904:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;2;;;;;;;;;;;;;;;;;;
Cube of Annihilation (6528:32767);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;7;;;;;;;;;;;;;;;7;;;;;;
Component Heat Exchanger (4213:1);;;;;;;;;;;;;12;;6;;;;;;;;;;;;;;;;;24;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;
Work Cart (5214:0);;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iron Ore (3201:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
Oak Pressure Plate (72:32767);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Sphalerite with Stardust (985:1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;1;;;;;;;;
Sphalerite (985:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;
Pomegranate (2346:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tiny Pile of Potassium Nitrate Dust (8609:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Dry Splinter (4901:0);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Persimmon (6832:0);;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gooseberry Sapling (2355:0);;;;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mossy Cobblestone (48:32767);;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;
Water Chestnut Crop (2415:0);;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Infused Earth Dust (9912:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;2;;;;;;;;
Spawner (52:32767);;;;;;4;;;;;;4;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;
Iron Fence (180:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;
Lava (11:32767);;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
Mortar and Pestle (7687:32767);;;;6;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iridium Reinforced Plate (4128:0);;;;;;;;;;;;;4;;;;;;;;;;;;;;;;4;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;
tile.TFNagastoneEtched.2.name (1930:2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;2;;;;;;;;
tile.TFNagastoneEtched.1.name (1930:1);;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;2;;;;;;;;
Etched Nagastone (1930:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;2;;;;;;;;
Rhubarb Crop (2380:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Igneous Rock (4893:0);;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;1;;;;;;;;
Mundane Comb (6595:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
Rune of Pride (6074:15);3;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;4;;;;;;;5;;;;;;;4;
Rune of Envy (6074:14);;;6;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;4;
Rune of Wrath (6074:13);;;3;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;4;
Rune of Sloth (6074:12);6;;;;;;;;;4;;;;;;;;;3;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;4;
Rune of Greed (6074:11);;;6;;;;;;;;;;;;;;;;3;;;;;;;4;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;4;
Rune of Gluttony (6074:10);;;3;;;;;;;;;;;;;4;;;3;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;4;
Rune of Lust (6074:9);6;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;2;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;4;
Rune of Mana (6074:8);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;6;;;;;;;;;;;;;2;;;;;;;;
Rune of Winter (6074:7);;;3;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;
Rune of Autumn (6074:6);3;;;;;;;;;;;;;;;;3;;3;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;
Rune of Summer (6074:5);3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;3;;;;;;;;;;;;;;;;;5;;;;;;;;
Rune of Spring (6074:4);;;3;;;;;;;;;;;;;;3;;3;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;
Rune of Air (6074:3);6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;
Rune of Earth (6074:2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;
Rune of Fire (6074:1);;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;
Rune of Water (6074:0);;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;
Stalk Garden (2280:0);;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spruce Stairs (134:0);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vishroom Soup (1309:32767);;;1;;;;;;;;;;;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;1;;;;;1;;;;;
Alluring Skull (2522:0);;;;;;;;;;;;6;;;;;;;;;;;;;;4;;;;;;;;4;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;
Brown Painter (4244:0);;;;;;;;;;;;;4;;;;;;;;2;;;;;;;;;;;;;;;;4;10;;;;;;;;;;;;;;;;;;;;;;;;;;
Oxygen Pipe (697:0);;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Asparagus Crop (2362:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shadow-Imbued Cloth (10177:1);1;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;3;;1;;;;;;;;;;;;;;;;;1;;;;;;;;
Shadowmetal Ingot (10177:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Laboratory Floor (972:0);;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;
10k Coolant Cell (4205:1);;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;
Witches' Brews (7571:0);;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
Pressure Plate (70:32767);;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;0;;;;;;;;;;3;;;;;;;;
Pressure Plate (70:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;3;;;;;;;;
Ruthenium Screw (10759:64);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Adamantium Alloy Screw (10759:10085);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Incoloy-903 Screw (10759:10084);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
High Durability Compound Steel Screw (10759:92);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Zircaloy-4 Screw (10759:10082);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Ademic Steel Screw (10759:96);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Tiberium Screw (10759:89);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Rhodium-Plated Palladium Screw (10759:88);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Rhodium Screw (10759:78);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Zircaloy-2 Screw (10759:10083);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Extremely Unstable Naquadah Screw (10759:10024);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Atomic Separation Catalyst Screw (10759:10022);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Shirabon Screw (10759:10112);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Metastable Oganesson Screw (10759:10111);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Enriched Naquadah Alloy Screw (10759:10110);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Precious Metals Alloy Screw (10759:10109);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Tairitsu Screw (10759:10106);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Hikarium Screw (10759:10105);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Dalisenite Screw (10759:10104);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Tanmolyium Beta-C Screw (10759:10103);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Artherium-Sn Screw (10759:10102);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Lumiium Screw (10759:10101);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Signalium Screw (10759:10099);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
MAR-Ce-M200 Steel Screw (10759:10097);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
MAR-M200 Steel Screw (10759:10096);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Ruridit Screw (10759:90);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Mu-metal Screw (10759:11351);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
Uncraftable Tipped Arrow (7829:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;;;;;;;;;;;;;
Nether Planks (3912:0);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Twilight Forest Portal (1919:32767);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
Twilight Forest Portal (1919:0);;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;4;;;;;;;;;;;
Rice Crop (2411:0);;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reinforced Rail (5210:4);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
H.S. Rail (5210:3);;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wooden Rail (5210:2);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Rail (5210:1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Standard Rail (5210:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Snow Pressure Plate (2536:0);;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sacred Oak Sapling (920:32767);;;;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flowering Oak Sapling (920:7);;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;
Sacred Oak Sapling (920:0);;;;1;;;;;;;;;;;;;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cinnamon Sapling (2301:0);;;;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leafy Garden (2278:0);;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Durian (2308:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
End Stone (121:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;
Armor Protection Poppet (7535:11);;;;;;;;;;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;1;;;;;;;;;;2;;;;;;;
Vampiric Poppet (7535:9);;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1;;;;4;;;1;;;;;;1;;;;;;;;;;;;;1;;;;
Voodoo Poppet (7535:8);;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;1;;;4;;;;;;;;;4;;;;;;;;;;;;;;;;;
Voodoo Protection Poppet (7535:7);;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;3;;;;;;;;;;1;;;;;;;
Death Protection Poppet (7535:6);;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1;;;;4;;;;;;;1;;1;;;;;;;;;;1;;;;;;;
Tool Protection Poppet (7535:5);;;;;;;;;;;;;1;;;;2;;;;1;;;;;;;;;;;;;;;;;4;;;;;;;;;1;;;;;;;;;;1;;;;;;;
Hunger Protection Poppet (7535:4);;;;;;;;;;;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;1;;;;;;;;;;1;;;1;;;;
Fire Protection Poppet (7535:3);;;1;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;4;;;;;;;;;1;;;;;;;;;;1;;;;;;;
Water Protection Poppet (7535:2);1;;1;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;1;;;;;;;;;;1;;;;;;;
Earth Protection Poppet (7535:1);;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;1;;;;;;;;;1;1;;;;;;;1
Poppet (7535:0);;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;1;;;;;;;;;;;;;;;;;
Plutonium (4114:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;
Mushroom (100:32767);;;;;;;;;;;;;;;;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;
Green Heart Fish (7382:0);;;1;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;
Charged Certus Quartz Ore (233:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;1;;;;;;;2;
Molecular Assembler (434:0);;;;;;;;;;;;;4;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;1;
Tool Box (4139:0);;;;;;;;;;;;;3;;;;;;;;2;;;;;;;;;;;3;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cooked Imphide (4801:1);;;;;;;;;4;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;
Raw Imphide (4801:0);;;;;;;;;4;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mog's Quiver (7605:0);;;;;;2;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;3;;;;;3;;;;;;;;;;;;;;1;;;;;;;
Torch (50:32767);;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bucket of Life (6014:32767);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;1;;4;;;;
Enhanced Brewing Stand (999:0);;;2;;;;;;;;;;3;;;;;;4;;;;;;;;;;;;;;;;;;;;3;;;;4;;;;;;;;;;;;;3;;;;;;;;
Sugar (353:32767);;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Advanced Heat Exchanger (4214:1);;;;;;;;;;;;;14;;7;;;;;;;;;;;;;;;;;26;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;
Bowl (4799:12);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
Bowl (4799:11);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
Bowl (4799:10);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
Bowl (4799:9);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
Bowl (4799:8);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
Bowl (4799:7);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
Bowl (4799:6);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
Bowl (4799:5);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
Bowl (4799:4);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
Bowl (4799:3);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
Bowl (4799:2);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
Bowl (4799:1);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
Bowl (4799:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
Olive (2324:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reinforced Glass Plate (5573:0);;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
Spinach Crop (2396:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Draconium Ingot (7737:0);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Glowstone (89:0);;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;
Milled Sphalerite (10010:0);;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;
Vishroom Stew (5935:0);;;;;;;;;;;;;;4;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;1;;;;;1;;;;;
Bamboo Shoot Seed (6758:0);;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mango (6823:0);;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cotton Seeds (4792:1);;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
Barley Seeds (4792:0);;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
Detector Track (28:32767);;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Certus Quartz Shovel (4310:0);;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;
Wheat (296:0);;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cactus Fruit (6691:0);;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cucumber Seed (6760:0);;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Water Garden (2283:0);;;1;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30k Coolant Cell (4206:1);;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;
Obsidian Stairs (964:0);;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;
Boots of the Traveler (4392:32767);3;;;;;;;;2;;;;2;;;;;;;;;;;5;;;;;;;;;;;;;1;4;;;;;1;;;;;;;;;;;;;;;;;;;;1;6
